text,anas,billa,rupu,label
me : looks at the yearalso me : looks to see how long this video is  my brain,0,0,0,0
"i love videos like this , you guys are like vsauce , you do not force us to watch these but we watch them for entertainment and learning , thank you guys .",1,1,1,1
idk what is wrong with me because i would have a similar feeling to depression for about 3 weeks straight then go a week feeling fine,0,0,0,0
my boyfriend has depression ...,0,0,0,0
"I am really sorry for this comment . I am not a bad person , just really desperate . You have a spare $ 1 ? Trying to save to get a working laptop ( homebased job ) . Got no opportunities outside anymore . Lost a lot since 2020 .",0,0,0,0
75th Anniversary of D-Day . God Bless all the souls who died during World War 2 .,1,1,1,1
Purple is the best because I have the purple iphone lol,1,1,1,1
I don't like commentators,0,0,0,0
Liverpool Crowned EUROPIAN CHMPIONS,1,1,1,1
My biggest enemy is me Pop a 911,0,0,0,0
You never walk alone,1,1,1,1
Cool consoles but ill wait a year to let all the bugs get worked out . It is also weird how my phone supports dolby atmos and 120hz gaming but the ps5 does not. At least the atmos part .,0,0,0,0
"WOW , unsubscribing . That ’ s what we are doing now ? Telling people vaccine side affects are good ?",0,0,0,0
"IT is worth buying a ps5 ... for old gen Yes ! Worth buying for Cyberpunk , ... .mommy better buy a PC or xboxsx . This is honest",0,1,1,1
Childhood memory  like,1,1,0,1
Anyone who wants to talk to someoneYou can talk to meWe can talk about anything you want,1,1,1,1
And starting the weekday off with a Mr Bean video makes me smile,1,1,1,1
purple looks better,1,1,1,1
"If you or your love one are diagnosed with deoression , you may need to have a financial comprehension",1,1,1,1
"They use shock therapy for depression ? ! : O Ive had major depressive disorder for almost 15 years , and never , ever has shock therapy ever been mentioned .",0,0,0,0
What ’ s the track id in the end ?,1,1,1,1
Congratulations ! ! What a journey 2018/19 season ! !,1,1,1,1
Why tf does yt keep recommending me these depression videos dang .,0,0,0,0
This guy didn ’ t try Demon souls for sure .,0,0,0,0
"the deaths due to the masks are going to be bad enough , the vaccine is only going to make the death count even worse",0,0,0,0
"75 years ago , this happenedNot only am I gon na give an F for the deceased , but a salute . o7",0,0,0,0
It ’ s something you claim to have as an excuse of your terrible behavior,0,0,0,0
This guy right here created millions of memories for everyone without saying a single word .,1,1,1,1
Should i upgrade from iphone 7 plus to this ? ? ?,1,1,1,1
Getting this soon for christmas ...,1,1,1,1
The hardest beach to clear was Juno but it was taken very fast,1,1,0,1
These are the best camera angles,1,1,1,1
"It is funny , Mr. Bean .",1,1,1,1
I dont like how this video plays off the landing in Omaha beach like it was the easiest thing to do .,0,0,1,0
Depression is not a weakness or PERSONALITY TRAIThmm I can hear the yells of kids faking depression in my school,0,0,0,0
What color should i get . Any suggestions ?,1,1,1,1
Who is here after a disappointing season so far ?,0,0,0,0
Ps5 That ’ s what I ’ m going for I already have called duty Cold War on the PlayStation five so I guess I have to get it,1,1,1,1
i have the green iphone 11,1,1,1,1
Tomorrow at 4PM I should be getting the iPhone 11 Black 64GB if u want me to tell you how I think it is better add me on Snapchat at Reall.Josiah,1,1,1,1
hey can u make mr beans holiday a series or make it the whole video even if its 1-2 hours or three hours just make it a series or make it the whole video i do not care how long it is,1,1,1,1
what if you fell like you want to kill youself,0,0,0,0
"But one of the side affects is death , how is that a good thing ?",0,0,0,0
Loosing palettelets is also a good thing .,0,0,0,0
If the Panzers had been moved to the coast in time ?,0,0,1,0
I explain the NEW CORONAVIRUS VARIANT and what we need to do next !,1,1,1,1
"I am buying two next week , me and my gf are going to give Apple a try .",1,1,1,1
name song in i search and never found,0,0,1,0
WEVE CONQUERED ALL OF EUROPPPPE ... .WERE NEVER GON NA STOPPPP,1,1,1,1
At least China is using proven technology to make their vaccines but it is less effective but it will probs make u feel safer since the technology is already proven and used .,1,1,0,1
my tv is bad running 720p and probably a low refresh rate,0,0,0,0
"Yeah , right . It is kinda obvious by now B.G . wants to put all those microwave chips in us so we can be easier targeted by the Reptalians 5G radiation",1,0,1,1
PS5 is definitely worth it . Was lucky to get it and the series x. Valhalla is pretty good . Miles morales was great just too much for short content . Can not wait to see what they do in 2 to 3 years .,1,1,1,1
Bean beeeeest 4ever ! ! ! ! !,1,1,1,1
Ill wait a little bit before i get one .,0,0,0,0
never have i ever had so many goosebumps,1,1,1,1
that is easy ... ps5,1,1,1,1
Can you please do the Liberation of the Netherlands,1,1,1,1
DO YOU EVER THINK ABOUT ... . YOU WASTED YOUR LIFE ON BEING SAD ... . ?,0,0,0,0
those Omaha bunkers were not real the real bunker is looked like hamburgers,0,0,0,0
"I know who has depression , oh wait , it was me",0,0,1,0
Love the light green color .,1,1,1,1
"So , who else played Medal of Honor Frontline .",1,1,1,1
At  in real life once the door opened the first soldiers would have died or more then just the first ones,0,0,0,0
"I hate people who fake it , they don ’ t know how painful it is . I feel like I ’ m suffocating inside my own head .",0,0,0,0
Depression is not a mental illness you can be depressed and perfectly sane,1,1,1,1
Vox finally says something informational,1,1,1,1
Love this liverpool,1,1,1,1
That is Bassicly impossible There was gunfire all over,0,0,0,0
I got one yay,1,1,1,1
When I have more than 5 of the symptoms ( but my complicated mind says no you dont,0,0,0,0
I am planning to upgrade to the 11 from the SE,1,1,1,1
Vaxs are poison,0,0,0,0
Thanks for this video . I went out kinda blind yesterday and landed this iPhone 11 . This review helped me learn a little more about my new phone . Cheers !,1,1,1,1
CDC declares death a good thing ! & quot ;,0,0,1,0
everyone : i ’ m watching this on iphone 6/7 me : i ’ m watching this on iphone 5s,1,1,1,1
It should ’ ve been Liverpool against Ajax..,0,0,0,0
SAY NO MORETAKE MY MONEYYY,0,1,0,0
"Who else is doing a National History Day project ? mine is due on this monday , febuary 19th .",1,1,1,1
Mr. Bean is legend ... Hit like ... ...,1,1,1,1
6th ! ! ! !..........,0,1,1,1
Also I am not stop laughing,1,1,1,1
1 . The purple one looks way better.2 . The iPhone 11 can stay 16 meters underwater for 30 minutes in saltwater . - Source : CNETSo DUH ! ! ! !,1,1,1,1
I dont know if I want green or black,1,1,0,1
im worried injecting DNA or RNA vacine cuz of my family history of autoimmune desease,0,0,0,0
"To anyone suffering from any mental disorder , ask for help . It  is Just as important to cure like any other physical diseases .",1,1,1,1
"Funny , I got it 2 days ago and was hit like a truck yesterday by these symptoms yesterday when this video came up .",0,0,0,0
sometimes depression see the reality,0,0,1,0
"Allison becker , soul of liverpool",1,1,1,1
I like the me in my dreams so i close my eyes to be him,1,1,1,1
Im gon na get mine this week ! ! Im so excited,1,1,1,1
I swear that people are just plain crazy . THE PS4 PRO DOES NOT HAVE A LOUD FAN FFS ! ! ! ! ! ! ! ! ! ! ! ! ! ! YES I HAVE A PS4 PRO AS WELL ! ! ! ! IT IS WHISPER QUIET ! ! ! ! ! ! ! ! ! !,0,0,0,0
"When u said the symtom i wished i didnt had any of them , nearly got them all",0,0,0,0
Anyone else think the iPhone 11 looks better than the pro ?,1,1,1,1
Liverpool you a te best,1,1,1,1
I doNt want to live but I am afraid of dying,0,0,0,0
"At stopped watching . WTF is a tech reviewer doing with his setup like that ? Hope it was temporary ? Also Ray tracing isn ’ t just about the reflections , COD uses it for the shadows .",0,0,1,0
URL Meanwhile in Gaijin 2015 April Fools update,0,0,0,0
can not wait to see the side effects on the COVID Vaccine Oh well Life is too short,0,0,0,0
lool never been this early,0,1,0,0
I broke up with the girl of my dreams because of my depression..,0,0,0,0
"Mlb the show , yes its worth it",1,1,1,1
"It seems to be mentally unstable due to lack of minerals , vitamins and protein. ",0,0,1,0
"A question remains unanswered , how long will someone have immunity ? Some people who got COVID then recovered , therefore gained immunity yet after 6months get sick again from COVID raises the question on mutations and duration of immunity",0,0,0,0
"& quot ; I don t wan na die , i just wan na get relief",0,0,0,0
Is that jeff from IDB ?,1,1,0,1
In Morocco the iphone pro max with 1800 dollars,0,1,1,1
"I have 5 of these symptoms , Mannnnn",0,0,0,0
Wow only 10 % I thought it was like 80 %,1,1,1,1
"D day , more like D in the arse day for Germany",1,0,1,1
I usually find myself comforting others like some sort of reflection to my own wishes of being comforted by someone .,1,1,1,1
OMG Eisenhower is the last name of one of my friends,1,1,1,1
Getting Lavender on Wednesday but I have an FRQ test on that year gon na die before I switch out my fossilized SE with a new 11,0,0,1,0
I have the iPhone 11 with an original apple case and original screen protector bought separately,1,1,1,1
"Is it worth it . Yes if all you have still is a day one PS4 like myself , it ’ s not even a question , of course it ’ s worth it dude !",1,1,1,1
I know lot of people doesnt really like apple but their unboxing experience is tha best,1,1,1,1
Can you do boobytraps of the Vietnam war,1,1,1,1
im disappointed i wake up every morning .,0,0,0,0
Fascinating ...,1,1,1,1
It ’ s been 3and half years,1,1,1,1
"Very grateful to have gotten my second vaccine dose this week . Every time I noticed my sore arm and achy elbows , it made me smile .",1,1,1,1
Why is he saying xbox and exclusive in the same line did xbox recently released exclusive,0,0,0,0
Why he raised his hand like an idiot ?,0,0,0,0
Some nice Cod2 sounds .,1,1,1,1
"Could have used the Canadian flag from that time period , but oh well .",0,0,0,0
Vaccine is the money trading,0,0,0,0
Thank you Origi,1,1,1,1
Just got 11 in red and it looks dope asf,1,1,1,1
people in the world struggle with depression. & quot ; - that is only for diagnosed . We don & 39 ; t know how many of them are undiagnosed being labelled as lazy .,0,0,0,0
anyone else getting one for xmas ?,1,1,1,1
I like watching stuff that I will never have,0,0,1,0
"To whoever reading this , you are a beautiful human being you Are worth it keep fighting !",1,1,1,1
I was born on the June 6,1,1,1,1
I ’ ll never tire of seeing this..,0,1,1,1
"Tip : If you wan na find the anti-vax comments , sort by new . It is a cesspool .",0,0,0,0
I know several people who unfortunately passed away as a result of taking this vaccine . DO NOT TAKE THE COVID VACCINE,0,0,0,0
I had my vax yesterday and have aall the side effects but getting over it now .,1,1,1,1
"Upgraded from iPhone 7 Plus to iPhone 11 Pro , and was the best decision I have ever made !",1,1,1,1
I aint no depressedI also aint fake depressedI have headache and problems that all bye,0,0,0,0
I had no side effects fromMine,1,1,1,1
Green is lovely,1,1,1,1
Funny how Vox is critical about truth & amp ; headlines only when it supports their claims,0,0,0,0
Thank you,1,1,1,1
"We try to hide our feelings , but we forget that our eye speak .",1,1,1,1
wow very interesting,1,1,1,1
I am depressed,0,0,0,0
I guess I might have depression because I have a lot of those symptoms,0,0,0,0
I got depression after I quit smoking weed ... Then I started drinking ... It is difficult to tell whether I am dreaming or awake so I just assume I am dreaming and hope this is a lucid dream .,0,0,0,0
BUT THE DOG LOOKS SO CUTE ! ! ! ! I DEFINETELY WANT THAT TO FOLLOW ME AROUND,1,1,1,1
"I cant believe I just figured out ted Ed had a video on this . Dang , Ted Ed is seriously the best .",1,1,1,1
HAHAHAHAHA SO FUNNY MR BEAN,1,1,1,1
Good Liverpool,1,1,1,1
i wish I m just sad or feeling depressed .,0,0,0,0
"I didnt know that about Dolby atmos support on the Xbox ! Heck yeah , I am going for the Xbox again !",1,1,0,1
Ok but is no one gon na y ’ all about how Tottenham made it to the final ?,0,0,0,0
Can anyone please explain why we are getting the pfizer vaccine instead of the Moderna vaccine ?,0,0,1,0
NEVER get vaccinated everyone and dont take this risk,0,0,0,0
"Majority as clueless , per usual . Good luck with your vaccines ! Because mainstream media and the pharmaceutical industry always have your back . They are basically humanitarian industries .",0,0,0,0
United Fans Now,0,0,1,0
my father was a d day soldier from Britain,1,1,1,1
Hey - edit photo outside the frame doesn ’ t work on mine 11 - any suggestions please,1,0,0,0
Depression = want to kill others break things then after some time it feels every thing is good now .,0,0,0,0
Vietnam war,1,1,1,1
"PRIME NEWS solution to STOP covid for 24h only , googlize & quot ; herbe à pic & quot ; if you want to be free again , sorry it is in French as no media has interest to share because of all the profits for vaccine is run .",0,0,0,0
Why dont u get air pods with ur iphone ? ? ?,0,0,0,0
6 of june 2019.75 year aniversary,1,1,1,1
I dont want help.. I just dont want to be here .,0,0,0,0
I have the 11 red and it has the product thing at the bottom,1,1,0,1
Mr Bean has a overdose of crack on 2x,0,0,0,0
FYI Apple doesn ’ t cover water damage on your iPhone even though they claim it can be in water for 30 minutes . My iPhone X had a little splash from my sink and was never able to restart or charge again .,0,0,0,0
We should spread the word depression and learn it in school for suicide and death isnt a joke,1,1,1,1
PS betta then Xbox no question .,1,1,0,1
Why not change the term for clinical depression to avoid the confusion ?,1,0,1,1
Violett is better,1,1,1,1
I ’ m so in doubt between the green and the purple ! ! ! ! which one do you prefer ?,1,1,1,1
It is been two years and I don & 39 ; t think it will ever let up,0,0,1,0
Oh goodness he is so American,0,1,1,1
Excellent presentation ! I am a new iPhone user so I found this video to be very helpful ! Thank You !,1,1,1,1
did you guys know that operation overlord was planned on june 4 but because of extreme weather the operation was move to june 6,1,1,1,1
Green or purple or red or white or black or midnight green,1,1,1,1
Jesus loves you soooo much,1,1,1,1
"I really want to die , but I dont want to kill myself .",0,0,0,0
"Congratulations to Liverpool , the better team on the night . From a gracious Spurs fan .",1,1,1,1
YEAH YEAH BULLSHIT .YOU CAN GET AN EXTERNAL HARD DRIVE USB IN  cheap PricE,0,0,0,0
Call of duty 2 sound effects on point .,1,1,1,1
American accent,1,1,1,1
"Mister bean is my guy on a stressful day or on a day I want to stay home all day . He cracks my ribs all the time , he is a soul healer",1,1,1,1
Utah beach was the easiest to capture cause it wasnt Utah ...,1,1,1,1
Does iphone 11 is otg compatible ?,1,1,1,1
"The best video about iPhone 11 , on Tuesday , January 12i ’ m getting mine on march ",1,1,1,1
"Liverpool must sign this 3 players..hakim ziyech , de ligt and one more lion player nabil shakir.. , and then liverpool will be unbeatable including barcelona..i bet t on it.. ! ! !",1,1,1,1
he is best in best in doing his work he help me unblock my phone in just a second all tanks to him,1,1,1,1
One of the best youtuberJust luved the way u explain,1,1,1,1
Vox is still in business ? Btw anti- vaxxing was a left wing tilt until it became a broad based concern . Well anywY hope that check cleared !,0,0,0,0
The sun is a great anti depressant and a gift from god that we take it for granted,1,1,0,1
Without checking features or anything else I ordered iPhone 11 so I ’ m just here to here to see if it ’ s worth it or not until it ’ s come,1,1,1,1
Love your channel and the edits man . Keep it up !,1,1,1,1
I am not going to be a guinea pig for this vaccine  I trust that any government has the best interest of it to kill people in mind,0,0,0,0
Two of my great grandfathers participated in the d day invasion,1,1,1,1
Liverpool can win champions league more than premier league,1,1,1,1
I got the 11 it is great,1,1,1,1
This is berkah of Ramadhan ... YNWA ...,1,1,1,1
Ur voice makes it more serious,0,1,0,0
i have severe clinical depression and sometimes my parents get angry at me and say & quot ; its all behavioral which really angers me because its like they think im doing this on purpose,0,0,1,0
Beat the chamoions of France Beat champions of germanyBeat champions of spainNow kings of europe .,1,1,1,1
14 years old when the listen to a single billie eilish music : UGH DONT TALK TO ME IM DEPPRESSED ! !,0,0,0,0
Imagine if the d day was not successful ... the world would be very different ( and maybe gone ),0,0,1,0
Hello awesome video,1,1,1,1
canadian flag looks different in 1944,1,1,1,1
"I got the first shot last week and I was fatigued , but not call off fatigued . And ya , my arm was pretty sore for two days . Small price to pay to potentially save my life and others  around me .",1,1,1,1
( Boycott France ) I dislike this video and unsubscribe because of relation with france ( Boycott France ),0,0,0,0
You know what I just want to go . Not like suicide or anything but just disappear . Just go away for once and just breathe .,0,0,1,0
"Let me tell you a story , ok so I still have depression and when I told my mom that I have depression when she was angry at me for the most ridiculous thing and when I told her she just laugh litterly in front of me and it made me more depressed",0,0,0,0
Can I win one please or get one please since u have extra,1,1,1,1
"So if ps5 can run roblox , will it be realistic now ?",1,1,1,1
Not just a comedy genius but also a PhD holder in electrical engineering.- Sir Rowan Atkinson .,1,1,1,1
Ps5 all the way,1,1,1,1
Mybe best moments to Liverpool FC in avent Campion Ligue day .,1,1,1,1
I have red iPhone 11 and you ?,1,1,1,1
"Mané is one of the main reasons we won this cup , hes criminally underrated",1,1,0,1
HOW THE HECK CAN FOUR PEOPLE CAN CARRY A SHERMAN ? !,0,0,0,0
I would go with the ps5,1,1,1,1
"Excellent video ! Very thorough on the camera , which I was looking for ! Thanks .",1,1,1,1
The green is clean,1,1,1,1
Educated people will get the vaccine . But then what is truth or facts anymore,0,0,0,0
"would anyone believe me if i said ive been dealing with depression since i was 11 and now im 18 , it just got worse and how do i know ? i got used to the point where i got used to pain its a part of my life",0,0,0,0
Can depression come from lymes ?,1,1,1,1
"If you are depressed , dont read the comments . You will feel worse after reading a handful .",0,0,0,0
Why it is . In russian . Language ?,0,0,0,0
I am like this nigga at andI had 7 symptoms,0,0,0,0
Liverpool king,1,1,1,1
Don ’ t you mean spacial not spatial ?,0,0,1,0
you forgot animal trials maybe ?,0,0,0,0
Damn look at the bright side,1,1,1,1
"The router isnt sitting permanently on top of the series X s air vent right lol.After the initial hype , I guess I & 39 ; m fine waiting for several months to get a ps5 . Miles morales would probably have a price drop by then too",1,1,1,1
"I have 8 of these symptoms ; I feel like my parents dont understand , or think that I am doing it just for attention.I need someone to talk to.but nobody wants to talk to me .",0,0,0,0
im just a moody teenager ... ..,0,0,0,0
Deadly substitute : origi,1,1,0,1
There were actually more than just 5 landing areas . Many companies had separate areas they were to land on . The ones mentioned are just the most well known,1,1,1,1
i grreen phone looks better,1,1,1,1
Thanks for helping me,1,1,1,1
When it has been a year so you can now buy an iPhone 11,1,1,0,1
Has anyone else noticed that the new logo is in between where the iPhone text and the previous location of the Apple logo ?,1,1,1,1
"they didnt just got out on the beach straight away , it was worse than that , the German machine gunners target locked the boats and shot all the Americans/allies down instantly",0,0,1,0
what is the name of the song please,1,1,1,1
I got this tomorrow  lavender colour luv this gadget,1,1,1,1
6times this is enough We need premier league now,1,1,1,1
"I wonder if Sony will release a PS5 Pro in 3 to 4 years from now , so we can have the performance at 60fps with all the bells and whistle ",1,1,1,1
"Your body might think , time to turn the heat up ! & quot ;",0,0,0,0
The iPhone 11 red actually does have text it says product red,1,1,1,1
Do a video on Dunkirk,0,1,1,1
"Every time I watch one of these things , I walk away thinking “ If only Americans payed attention in high school biology ”",1,0,1,1
"I won one for £1.99 in a raffle lastnight , can nt wait to get it .",1,1,1,1
Tell the hundreds and thousands of children who are disabled/dead by these side effects that they are a good thing ... ..,0,0,0,0
Just because depression starts with D abd  Dogs too,0,0,0,0
Why didnt Hitler deployed more men ?,0,0,0,0
I remember watching this in 2008 or in 2009 . Still this is funny,1,1,1,1
I feel we ve reach the point when no even a coherent argument can convince us as it did before . The lack of confidence that people in positions of power and institutions have caused is yet causing trust issues . Maybe just me tho .,0,0,0,0
Who else thinks the iPhone 11 actually looks good,1,1,1,1
Who is your man of the match,1,1,1,1
I dont have deppresion and i m happy,1,1,1,1
I have 9 of the symptoms,0,0,0,0
Did you know : ww11 to today is the same length as the civil war to ww1,1,1,1,1
We ’ re those wireless EarPods ? I got wired with my 11,0,0,1,0
Too funny ! Thanks Mr Bean ... so Talented,1,1,1,1
I m with depression can I get 2 likes or a reply ?,0,0,0,0
"“ No mission to difficult , no sacrifice too great . Duty first. ” -Turner , Call of Duty WW2 ( Left of the soldier with the 23 sign on him )",1,1,1,1
It is a good thing America got involved . If we hadnt Germany would had destroyed Britain and Russia . You guys owe us everything honestly .,1,1,1,1
Please the link of full movie,1,1,1,1
What are the chances of the next iPhone having the square edges . I can ’ t stand the round edges . I ’ m a tactile person and the square edges are much more comforting . I ’ ll wait out if I have to .,0,1,0,0
Double D-day . If u know what i mean ...,1,1,1,1
"Here in late January 2021 , missed the crowd in stadium so bad ",0,0,1,0
MeDiCaL tYrRAnY iS GoOd ! ! Pshh ! You people deserve everything that ’ s coming to you,0,0,0,0
Assistir Mister Bean sem engraçado bobão,1,1,1,1
My dad got so sick from the vaccine it was sad he ’ s so healthy and active,0,0,0,0
Mr bean is so funny,1,1,1,1
Holy cow ! I was So JOY ! ! ! Now I ’ m not ? ? Okay let ’ s bring this back ! Pray for me !,1,1,1,1
person : diesscientists : but its a good thing,0,0,1,0
Got it when i learned that god is not good after all .,0,0,0,0
You messed up the fildelity vs performance mode on Spiderman,0,0,0,0
Had the opportunity to get vaccinated today but I didnt. But now after watching this video am comfortable with taking it now,1,1,0,1
"I ve just got this phone , really nice phone",1,1,1,1
School is the leading cause for anyone in it .,0,0,0,0
Okinawa was bigger I think,1,1,0,1
Play station still sucks has been good since the PS1,0,0,0,0
The comment section is making me depressed,0,0,0,0
Can nt sleep every night .,0,0,0,0
Fucking Barcelona Man ! ! !,0,0,0,0
"i have all of those symptoms , I thought I & 39 ; ll only get half of them . what now ?",0,0,0,0
since iPhone 12 came out iPhone 11 drop there price in the verizon at 749.99 now 256 GB,1,1,1,1
I have depression . I feel worthlessI hate myselfI always sadI hide my feelingsI m ashamed of myselfI cry every nightI lose interest everydayI eat way too muchYet i am skinnyI wan na feel something other than sadness .,0,0,0,0
I have suffered from depression for more than 10 years and I still can t ask for help  what I m getting closer to is actually suicide,0,0,0,0
I can believe there are people that are even afraid of a vaccine than the actual virus .,0,0,0,0
WHOS WATCHING THIS ON AN IPAD . BECAUSE YOU GAVE YOUR SISTER YOUR OLD PHONE . AND TOMMOROW YOUR GETTING THE 11-just meOh- PS . Why did i make this again,0,0,0,0
I love the voice actor,1,1,1,1
my 6s got the “ white screen of death ” and we couldn ’ t fix it so i got the 11 ! it ’ s such an amazing upgrade and the best iphone so far,1,1,1,1
"the camera is so clear , im more insecure now",0,0,0,0
I have been watching you from 13 years .,1,1,1,1
"Every vaccine - including these for THE VIRUS - death as a possible side effect . So , how is that a good thing ?",1,0,0,1
I have a eating disorder// well recovery,1,1,1,1
"Hi if anyone is depressed and need counselling msg me on whatsapp +92305-8667195Plz remember i will just counsell , , will not recommend any medicine",1,1,1,1
I have them all but I dont think I have depression,0,0,1,0
The purple one,1,1,1,1
Fck i got all symptoms.i attempted to die 2 times ... . Still hopes to get better ... .its been 8 months,0,0,0,0
Here in brazil people think that the vaccine will turn humans into aligators lol,0,0,1,0
Let ’ s make it 7 in Istanbul,1,1,1,1
Follow us for inspirational content You will not get disappointed We know you are courageous and resilient,1,1,1,1
I wish my teachers would use these videos to help teach the lesson . This is far more interesting than taking notes on WW2 .,0,1,1,1
Has anyone here ever been told to “ just get over it ” like your supposed to snap out of feeling depressed on the spot,0,0,0,0
"That was helpful , because i get worried a lot and have had suicidal thoughts , but i learned myself to push them away . I changed myself",1,1,1,1
wow great,1,1,1,1
Any monitor recommendation ? Thanks chap,1,1,1,1
"The Final 2018,2019,2020 istanbul ? Champion again.amazing liverpool the best in the world",1,1,1,1
I pray who ever reads this becomes successful ... ...,1,1,1,1
Sssfffffff just wait for metal gesr remake,1,0,1,1
Is going from an XR to this worth it ?,1,1,0,1
I ’ m getting mine tomorrow can ’ t wait,1,1,1,1
Its not airpods irs earphones,0,0,0,0
People who worship the vaccine are just as annoying as anti-vaxxers .,0,0,0,0
Not one animal specie in the world needa a vaccine.Fact .,1,1,1,1
wait everyone isnt the iPhone 11 cheap like if u agree with me,1,1,1,1
Ps5 all the way,1,1,1,1
"Actually ! Omaha beach was hit by 29th and 1st US Infantry divisions , not 4th , which landed on Utah .",0,0,1,0
"What backlight are you using behind your tv ? Is this some kind of aftermarket ambilight ? If so , how did you install it on your gx , given that there ‘ s literally no space between tv/wall ?",0,1,0,0
I dont know how long it will hold up . but I will give it a try as best I can !,1,1,1,1
Spider Man Miles Morales and Sackboy are great,1,1,0,1
A 49 year old woman from Austria died after taking the AstraZeneca vaccine.But I suppose that Is actually a good thing .,0,0,0,0
Every single world is true .,1,1,1,1
Fidelity mode and performance mode ? ? I think performance mode is much better rtx effect,1,1,1,1
"Looking for causes ? I feel like school might increase the risk , might also just be the age though .",0,0,0,0
Who ’ s watching this on a MacBook pro ?,1,1,1,1
"“ —— the AirPods ” Wait what ? “ No EarPods ” Oh , aww",0,0,0,0
"For those that didn ’ t notice a difference when enabling/disabling ray tracing in Black Ops Cold War , it ’ s because the game uses ray-traced shadows ( more accurate shadows ) instead of the assumed ray-traced reflections .",1,1,1,0
I like the purple color better,1,1,1,1
"This is one of the best summaries of why vaccines work that I ve seen , great video",1,1,1,1
Who else is getting the 11 in a week ?,1,1,1,1
I have depression,0,0,0,0
I am the biggest fan of mr bean I am fan from childhood,1,1,1,1
Imagine you are someone who is cynical about vaccines and you read the title of the video ... What are the chances of you becoming an anti-vaxxer ?,0,0,0,0
I also sorta disagree with electro convulsive treatment it seems downright barbaric,0,0,0,0
"Just got this phone today in purple ! Couldnt decide between purple , green , or yellow but they only had purple/red . It is such a major upgrade from my 8 plus ! I also got it for a good price , payed $ 430 + tax so $ 447 .",1,1,1,1
This channel deserves WAY more subscribers then it has,1,1,1,1
I am tired of all the haters bashing the iPhone 11s Liquid Retina display . I have the product red 11 and I see nothing wrong with its display,1,1,1,1
I have depression now yay,0,0,0,0
Anyone want to talk ?,1,1,1,1
Not if it ’ s bringing no feeling to half of your body lol,0,0,0,0
Im saving for an iphone 11 hehe,1,1,1,1
Most accurate,1,1,1,1
I have one in the living room and one coming for the bedroom hehe,1,1,1,1
it doesnt get any better than this ... Oh it will I m sure it will .,1,1,1,1
The voice lmao,1,1,1,1
I see a lot of people ( here ) that choose hate and who want to live in fearI choose Love and only can live in freedom . That is my life . Love and freedomAnd Love always has to win,1,1,1,1
You should make a ww1 melee wepons,1,1,1,1
When can I pre order a PS5 ?,1,1,1,1
I support vaccines.I do not support liberally-based liars telling us a stack of lies to propagandize and push an agenda .,0,0,1,0
Fuck I m depressed as hell i had all those symptoms . Kmn,0,0,0,0
Can you explain all the deaths happening after people are being vaccinated or is that just a ; side effect &,0,0,0,0
YES D-DAY I LOVE STUDYING THIS ! ! ! ! ! ! !,1,1,1,1
I paid $ 1500 for my IPhone 11,1,1,1,1
Upgrading from 7plus to 11,1,1,1,1
I cant afford this so I & 39 ; m just gon na watch it cries in broke student,0,0,0,0
It ’ s bin 7+ years of depression,0,0,0,0
ı will go ps 5,1,1,0,1
"The most hilarious , brilliant and also the most memorable scene ever ! ! ! !",1,1,0,1
